* Measurement data measured by REW V5.31.3
* Source: ISO 11904-1 DF (711 Z) 10dB w/ EQ filters
* Format: 
* Dated: Aug 17, 2024 10:38:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from C:\Users\therollo9\Documents\SquigLink\data\ISO 11904-1 DF (711 Z) 10dB Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LS Q     Fc   105.0 Hz  Gain   6.60 dB Q  0.710 PK       Fc    2800 Hz  Gain  -1.80 dB  Q  1.000 HS Q     Fc    2500 Hz  Gain  -3.00 dB Q  0.420
* Measurement: Razan Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
18653.487541, -5.937
18788.658401, -6.067
18924.808765, -6.241
19061.945730, -6.467
19200.076447, -6.757
19339.208116, -7.131
19479.347990, -7.596
19620.503375, -8.155
19762.681631, -8.760
19905.890168, -9.332
20050.136454, -9.699
